cluster_id,label,time_start,time_end,article_count_after_dedup,distinct_source_count,distinct_months,distinct_days,persistence,top_source,top_source_share_after_dedup,largest_collection_burst_share_after_dedup,representative_vocabulary,current_atlas_entities,representative_article_keys
fx_market,Dollar / FX market and gap,2025-06-23,2026-08-14,77,45,10,29,PERSISTENT,Infobae,0.104,0.104,dolar; banco; nacion; blue; argentina; milei; caputo,q.ns08; q.ns09; q.ns10; q.ns18,content:b40971e18007e7f73bf21b437c69d91d9f63ae8c; content:07c068571623cb7c296568ed94e995fb72364510
inflation_momentum,Inflation momentum and CPI,2025-06-22,2026-08-14,58,49,9,32,PERSISTENT,Infobae,0.069,0.172,inflacion; argentina; dolar; milei; julio; precios; javier,q.ns01; q.ns02; q.ns03; q.ns04; q.ns05,content:63220255bd6286f8c5a6bd71e4067adb383fe163; content:ee8cc047ee12b1b201b82f97369be7c260f310bc
wages_paritarias,"Wages, salaries and bargaining",2025-06-24,2026-08-14,56,49,9,23,PERSISTENT,BAE Negocios,0.054,0.089,salarios; milei; argentina; gobierno; salario; nacional; crisis,labor_incomes,content:58a1eb36b3d3fece12e6601f87256e8d2bfbb87b; content:37ab2b9ecee855adc4034aec80b158cdf7fc8665
poverty_basket,"Poverty, basic basket and indigence threshold",2025-06-14,2026-08-13,28,27,9,19,PERSISTENT,Infobae,0.071,0.071,pobreza; argentina; salarios; canasta; basica; milei; aumento,household_welfare; q.ns01,content:96894f10fefc9710709080f6c2e5f223f0aa6be7; content:5839198dd414c5aa07f8e5f06cefcba2df955c2d
reserves_bcra,Reserves and BCRA FX purchases,2025-06-22,2026-08-13,41,22,9,25,PERSISTENT,Perfil,0.195,0.146,dolar; bcra; banco; central; reservas; inflacion; compras,q.ef01; q.ef02; q.ef03; q.ns11; q.ef20,content:46c02edd5812d32fb9d5d5ca7dddfba9d20dbf4c; content:2b9613de5506fcfbdff3eb72c86fb0b910d07a3e
rates_savings,"Interest rates, term deposits and monetary conditions",2025-06-13,2026-08-13,28,19,9,21,PERSISTENT,iProfesional,0.143,0.071,interes; dolar; tasa; plazo; fijo; banco; tasas,q.ns12; q.ns13; q.ns14; q.re11,content:775755fa042eca641404cd28c59d8a26de5b00f4; content:4e49edc266cdb6b698e7847ba6972c0eabc4dfde
labor_employment,"Employment, unemployment and labor market",2025-06-21,2026-05-05,32,32,8,21,PERSISTENT,Diario Mendoza,0.062,0.125,desempleo; argentina; milei; inflacion; laboral; desocupacion; empleo,labor_incomes; q.re01,content:cffc69c52201cb2982e72ab23ee88d0324f7e389; content:02112ace085229ed4b2bbb38c1a7fb49f8d428d1
debt_refinancing,"Debt service, IMF and refinancing",2025-06-15,2026-08-14,18,19,8,13,PERSISTENT,La Nación,0.111,0.167,deuda; caputo; tasa; banco; central; reservas; millones,q.ef10; q.ef11; q.ef12; q.ef13,content:f4bb8c37e975176561be07ff2331541a1586b6be; content:f68244820f4d16a2eab98f7ffb39b88d4b344698
sovereign_risk_markets,"Sovereign risk, bonds and market confidence",2025-06-15,2026-08-14,23,17,8,18,PERSISTENT,La Nación,0.13,0.087,riesgo; pais; dolar; banco; deuda; mercado; central,q.ef08; q.ef09; q.ef12,content:49593db0b9a55c0e89afe5e4faec8de7fcdfcdd1; content:0f01e7b114514c0da1323865ab7a9193bb3898ca
fiscal_anchor,"Fiscal balance, revenue and spending",2025-06-20,2026-05-04,19,16,8,16,PERSISTENT,Diario Río Negro,0.105,0.105,fiscal; superavit; inflacion; milei; argentina; recaudacion; gobierno,fiscal_regime,content:f9b49161a66fae8f1a26a7c90946909e5bc7f24f; content:585ad55e1e3fb33e4a31cec317a3101f265156c4
trade_external,"Exports, imports and trade balance",2025-06-20,2026-05-02,20,16,8,17,PERSISTENT,La Nación,0.15,0.1,exportaciones; importaciones; milei; argentina; caputo; impacto; bcra,q.ef04; q.ef05; q.re09; q.re10,content:2fe4ecde561442e071bbbf61de47baa4a9771c36; content:b2f030da01b307d8dd3d2b5a551f5c55a3669d53
activity_consumption,"Activity, recession and consumption",2025-06-19,2026-05-05,23,20,7,18,PERSISTENT,La Nación,0.087,0.087,argentina; inflacion; actividad; economica; recesion; milei; bcra,q.re01; q.re03; q.re04; q.re12,content:e97b928b3b1657b1e9e81903c4e3dda672d83e0e; content:d1911ea4afcb426a5bfd133f27ef12b6cbc1e221
inflation_wages,Inflation versus wages / purchasing power,2025-06-15,2026-05-01,37,36,6,19,PERSISTENT,Ambito,0.054,0.108,inflacion; salarios; indec; milei; segun; pobreza; julio,q.ns01; labor_incomes; household_welfare,content:c37dcb221e83f01c409196f48597068cbc65b353; content:810c28672c092cb13065e6a367e2c9dc444d5f9c
credit_finance,"Credit, mortgages and financial intermediation",2025-09-30,2026-08-14,9,8,3,4,INTERMITTENT,Infobae,0.222,0.444,billeteras; virtuales; bcra; dolar; oficial; caputo; venta,q.ef14; q.ef15; q.ef17; q.re11,content:3235dc14739d8478d8d13f932e3d40c4ba38c19a; content:bf2ac08dfd6ec67a0ecb29f99bdbe45ddc09ead8
