date,value,series_id,provider_series_id
2002-03-04,2.0083,series.ar.bcra.wholesale_fx,5
2002-03-05,1.9917,series.ar.bcra.wholesale_fx,5
2002-03-06,2.0508,series.ar.bcra.wholesale_fx,5
2002-03-07,2.1375,series.ar.bcra.wholesale_fx,5
2002-03-08,2.2033,series.ar.bcra.wholesale_fx,5
2002-03-11,2.2525,series.ar.bcra.wholesale_fx,5
2002-03-12,2.365,series.ar.bcra.wholesale_fx,5
2002-03-13,2.3317,series.ar.bcra.wholesale_fx,5
2002-03-14,2.365,series.ar.bcra.wholesale_fx,5
2002-03-15,2.3408,series.ar.bcra.wholesale_fx,5
2002-03-18,2.3175,series.ar.bcra.wholesale_fx,5
2002-03-19,2.3783,series.ar.bcra.wholesale_fx,5
2002-03-20,2.432,series.ar.bcra.wholesale_fx,5
2002-03-21,2.3883,series.ar.bcra.wholesale_fx,5
2002-03-22,2.5683,series.ar.bcra.wholesale_fx,5
2002-03-25,3.205,series.ar.bcra.wholesale_fx,5
2002-03-26,2.9917,series.ar.bcra.wholesale_fx,5
2002-03-27,2.8517,series.ar.bcra.wholesale_fx,5
2002-04-02,2.8875,series.ar.bcra.wholesale_fx,5
2002-04-03,2.9033,series.ar.bcra.wholesale_fx,5
2002-04-04,2.8,series.ar.bcra.wholesale_fx,5
2002-04-05,2.6733,series.ar.bcra.wholesale_fx,5
2002-04-08,2.7042,series.ar.bcra.wholesale_fx,5
2002-04-09,2.7467,series.ar.bcra.wholesale_fx,5
2002-04-10,2.7708,series.ar.bcra.wholesale_fx,5
2002-04-11,2.7883,series.ar.bcra.wholesale_fx,5
2002-04-12,2.8592,series.ar.bcra.wholesale_fx,5
2002-04-15,2.9233,series.ar.bcra.wholesale_fx,5
2002-04-16,2.8533,series.ar.bcra.wholesale_fx,5
2002-04-17,2.805,series.ar.bcra.wholesale_fx,5
2002-04-18,2.9117,series.ar.bcra.wholesale_fx,5
2002-04-19,3.1167,series.ar.bcra.wholesale_fx,5
2002-04-29,3.0217,series.ar.bcra.wholesale_fx,5
2002-04-30,2.9167,series.ar.bcra.wholesale_fx,5
2002-05-02,3.0358,series.ar.bcra.wholesale_fx,5
2002-05-03,3.16,series.ar.bcra.wholesale_fx,5
2002-05-06,3.1633,series.ar.bcra.wholesale_fx,5
2002-05-07,3.1717,series.ar.bcra.wholesale_fx,5
2002-05-08,3.1863,series.ar.bcra.wholesale_fx,5
2002-05-09,3.18,series.ar.bcra.wholesale_fx,5
2002-05-10,3.1767,series.ar.bcra.wholesale_fx,5
2002-05-13,3.2667,series.ar.bcra.wholesale_fx,5
2002-05-14,3.2557,series.ar.bcra.wholesale_fx,5
2002-05-15,3.225,series.ar.bcra.wholesale_fx,5
2002-05-16,3.2228,series.ar.bcra.wholesale_fx,5
2002-05-17,3.33,series.ar.bcra.wholesale_fx,5
2002-05-20,3.5167,series.ar.bcra.wholesale_fx,5
2002-05-21,3.4933,series.ar.bcra.wholesale_fx,5
2002-05-22,3.4208,series.ar.bcra.wholesale_fx,5
2002-05-23,3.3883,series.ar.bcra.wholesale_fx,5
2002-05-24,3.4283,series.ar.bcra.wholesale_fx,5
2002-05-27,3.4483,series.ar.bcra.wholesale_fx,5
2002-05-28,3.4517,series.ar.bcra.wholesale_fx,5
2002-05-29,3.5433,series.ar.bcra.wholesale_fx,5
2002-05-30,3.5917,series.ar.bcra.wholesale_fx,5
2002-05-31,3.575,series.ar.bcra.wholesale_fx,5
2002-06-03,3.5942,series.ar.bcra.wholesale_fx,5
2002-06-04,3.6083,series.ar.bcra.wholesale_fx,5
2002-06-05,3.6267,series.ar.bcra.wholesale_fx,5
2002-06-06,3.6367,series.ar.bcra.wholesale_fx,5
2002-06-07,3.63,series.ar.bcra.wholesale_fx,5
2002-06-10,3.5325,series.ar.bcra.wholesale_fx,5
2002-06-11,3.4558,series.ar.bcra.wholesale_fx,5
2002-06-12,3.445,series.ar.bcra.wholesale_fx,5
2002-06-13,3.4717,series.ar.bcra.wholesale_fx,5
