econ_lane,matched_terms,econ_score,article_key,title,source,published_at,uid,first_seen_digest,last_seen_digest,observation_count,first_feed_topic,first_window_type,first_source_file
debt,rollover,2,content:f7853b61827a426e6ea0d2345028d9290e08c5f7,Noticias sobre rollover: Última información Hoy 13-08,Mendoza Post,2026-08-14 01:55:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
debt,dolar | inflacion | riesgo pais,6,content:85614e95955605046805f0c3374e943da0118c2c,"Tras el dato de inflación, el dólar se mantuvo estable aunque el riesgo país volvió a subir",a24.com,2026-08-14 00:38:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_07.md
reserves,bcra | reservas,5,content:1ad47d2939b10712dfa72b4b23999a7c54717dcc,"Las compras del BCRA superaron los u$s200 millones en agosto, pero la caída del oro presionó a las reservas",Ambito,2026-08-13 23:28:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_06.md
reserves,banco central,5,content:4cc5c94eeaf91f00afe929da5408fa90493f9a8d,"Banco Central peruano mantiene estable su tasa clave en 4,25% por duodécimo mes consecutivo",TradingView,2026-08-13 23:26:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_06.md
debt,deuda,2,content:748818cf9ef0e26478b7bfad6cf6ff17937d474c,"Mapa de la deuda: Brandsen alcanzó un 17,54% de Tasa de Mora",Infobrandsen,2026-08-13 23:08:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_06.md
reserves,bcra,5,content:698140beece8dbd32a6fa7133da9efb376f7a644,Créditos en dólares: el BCRA definió las pautas para que los bancos puedan prestarle a más empresas,Infobae,2026-08-13 22:07:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
reserves,bcra,5,content:94335ee63bcb2b576fdf60a171dbe1c60cc9e70e,Créditos en dólares: Caputo anunció un importante cambio para las empresas y el BCRA prepara nuevas reglas,Radio del Plata,2026-08-13 21:32:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_04.md
debt,deuda,2,content:ff3cd0bf8abb964aae139f56ec3301938494eb4c,Crisis de deuda en La Plata: la tasa de mora escala al 15%,El Editor Platense,2026-08-13 21:00:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
debt,dolar | inflacion | riesgo pais,2,content:fb530e7eb8f47e2f6daf3b7c9501a0ba7c55ca90,"Se recalientan el dólar blue y el riesgo país tras el 2,1% de inflación en julio: a cuánto cerraron el jueves",MDZ Online,2026-08-13 20:52:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
reserves,bcra | dolar,7,content:fce7c7b843594e6e8033757e390dca15adaf3a5b,El dólar mayorista rozó los $1.500 y el mercado sigue de cerca la intervención del BCRA,El Esquiu,2026-08-13 20:50:00+00:00,,2026-08-14 04:00:00+00:00,2026-08-14 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260814T04_All_Topics_03.md
